episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
357,70,-4.8,87,0.8361,0.2245,0,89.7
358,60,-4.125,57,0.8357,0.2245,0,89.0
359,150,-2.8,96,0.8352,0.2244,0,90.1
360,120,-4.1,70,0.8348,0.2243,0,90.9
361,30,-3.25,31,0.8344,0.2243,0,90.7
362,60,-1.05,14,0.834,0.2242,0,90.7
363,150,-4.725,138,0.8336,0.2241,0,91.1
364,80,-3.35,46,0.8331,0.2241,0,90.8
365,100,-1.725,25,0.8327,0.224,0,91.5
366,120,-5.5,122,0.8323,0.2239,0,91.6
367,30,-2.95,25,0.8319,0.2239,0,90.9
368,270,-0.9,163,0.8315,0.2238,0,93.0
369,290,-9.7,245,0.8311,0.2237,0,95.4
370,70,-2.775,31,0.8307,0.2237,0,95.8
371,160,-5.65,170,0.8302,0.2236,0,97.1
372,100,-4.3,70,0.8298,0.2235,0,97.7
373,30,-2.0,5,0.8294,0.2235,0,96.9
374,100,-1.475,46,0.829,0.2234,0,97.5
375,70,-2.375,21,0.8286,0.2233,0,97.2
376,290,-1.15,167,0.8282,0.2233,0,99.7
377,190,-7.425,155,0.8277,0.2232,0,101.0
378,70,-4.4,68,0.8273,0.2231,0,101.3
379,90,-1.9,29,0.8269,0.2231,0,101.0
380,60,-4.025,54,0.8265,0.223,0,101.3
381,80,-3.225,53,0.8261,0.2229,0,101.7
382,260,-1.2,141,0.8257,0.2229,0,103.5
383,130,-7.075,139,0.8253,0.2228,0,103.9
384,70,-5.4,90,0.8249,0.2227,0,102.7
385,220,-3.675,164,0.8244,0.2227,0,103.7
386,30,-2.1,7,0.824,0.2226,0,103.4
387,60,-2.875,49,0.8236,0.2225,0,102.8
388,140,-6.1,164,0.8232,0.2225,0,102.9
389,50,-2.4,18,0.8228,0.2224,0,103.0
390,70,-2.125,28,0.8224,0.2223,0,103.4
391,260,-6.2,250,0.822,0.2223,0,104.7
392,30,-2.65,19,0.8216,0.2222,0,104.6
393,30,-2.15,15,0.8212,0.2221,0,104.1
394,290,-1.925,200,0.8207,0.2221,0,106.4
395,60,-2.8,30,0.8203,0.222,0,105.8
396,140,-5.75,153,0.8199,0.2219,0,105.3
397,30,-2.2,9,0.8195,0.2219,0,102.4
398,70,-1.4,28,0.8191,0.2218,0,102.3
399,140,-10.55,253,0.8187,0.2217,0,102.5
400,30,-2.25,10,0.8183,0.2217,0,102.5
401,80,-1.675,40,0.8179,0.2216,0,102.7
402,150,-5.475,139,0.8175,0.2215,0,103.4
403,30,-3.275,35,0.8171,0.2215,0,103.4
404,190,-1.7,113,0.8166,0.2214,0,104.1
405,160,-8.125,167,0.8162,0.2213,0,105.3
406,190,-7.3,160,0.8158,0.2213,0,106.5
407,140,-5.975,113,0.8154,0.2212,0,107.3
408,180,-6.025,155,0.815,0.2211,0,108.8
409,100,-9.175,178,0.8146,0.2211,0,108.5
410,60,-3.225,39,0.8142,0.221,0,108.5
411,30,-2.0,5,0.8138,0.2209,0,107.8
412,140,-1.35,74,0.8134,0.2209,0,108.5
413,160,-4.95,113,0.813,0.2208,0,109.4
414,150,-4.325,84,0.8126,0.2207,0,110.6
415,60,-5.325,87,0.8122,0.2207,0,110.2
416,200,-3.55,153,0.8118,0.2206,0,111.1
417,50,-3.25,35,0.8114,0.2205,0,110.6
418,120,-5.65,137,0.8109,0.2205,0,109.4
419,60,-4.775,75,0.8105,0.2204,0,109.3
420,200,-2.175,114,0.8101,0.2203,0,108.8
421,30,-2.875,27,0.8097,0.2203,0,108.8
422,120,0.3,23,0.8093,0.2202,0,109.2
423,150,-7.6,165,0.8089,0.2201,0,110.4
424,80,-3.675,52,0.8085,0.2201,0,109.8
425,200,-3.925,149,0.8081,0.22,0,109.5
426,80,-5.175,85,0.8077,0.2199,0,109.3
427,100,-2.175,42,0.8073,0.2199,0,110.0
428,80,-6.8,123,0.8069,0.2198,0,110.0
429,60,-1.95,10,0.8065,0.2197,0,108.8
430,70,-2.5,29,0.8061,0.2197,0,109.2
431,30,-2.45,14,0.8057,0.2196,0,109.1
432,30,-2.6,18,0.8053,0.2195,0,108.3
433,40,-1.8,15,0.8049,0.2195,0,107.7
434,30,-2.1,7,0.8045,0.2194,0,107.6
435,90,-6.1,145,0.8041,0.2193,0,108.2
436,70,-3.5,46,0.8037,0.2193,0,107.8
437,30,-2.9,25,0.8033,0.2192,0,106.2
438,60,-4.0,74,0.8029,0.2191,0,106.3
439,100,-2.15,46,0.8025,0.2191,0,104.9
440,40,-2.375,15,0.8021,0.219,0,104.9
441,110,-4.1,108,0.8017,0.2189,0,105.4
442,210,-5.675,172,0.8013,0.2189,0,107.2
443,40,-3.225,34,0.8009,0.2188,0,106.1
444,30,-2.175,9,0.8005,0.2188,0,105.2
445,30,-2.475,15,0.8001,0.2187,0,104.4
446,200,-3.725,174,0.7997,0.2186,0,105.8
