Episode 173/2000, Score: 40, Reward: 0.75, Avg: 104.5, Actor loss: -3.4550, Critic loss: 4.0288, Total loss: 0.5739
Episode 174/2000, Score: 30, Reward: -2.3, Avg: 104.5, Actor loss: -5.3471, Critic loss: 10.9479, Total loss: 5.6008
Episode 175/2000, Score: 120, Reward: 10.099999999999996, Avg: 109.0, Actor loss: 0.0464, Critic loss: 7.3394, Total loss: 7.3857
Episode 176/2000, Score: 40, Reward: -0.6500000000000004, Avg: 97.5, Actor loss: -3.7850, Critic loss: 6.5859, Total loss: 2.8009
Episode 177/2000, Score: 260, Reward: 29.84999999999998, Avg: 101.5, Actor loss: -1.8411, Critic loss: 8.1213, Total loss: 6.2802
Episode 178/2000, Score: 70, Reward: 2.8500000000000023, Avg: 98.0, Actor loss: -3.0043, Critic loss: 6.7623, Total loss: 3.7580
Episode 179/2000, Score: 160, Reward: 15.849999999999998, Avg: 104.5, Actor loss: -2.1477, Critic loss: 5.0618, Total loss: 2.9142
Episode 180/2000, Score: 30, Reward: -0.75, Avg: 101.5, Actor loss: -5.4738, Critic loss: 10.0289, Total loss: 4.5551
Episode 181/2000, Score: 270, Reward: 31.4, Avg: 113.5, Actor loss: -2.7289, Critic loss: 7.3213, Total loss: 4.5924
Episode 182/2000, Score: 30, Reward: -2.2499999999999996, Avg: 112.0, Actor loss: -6.6638, Critic loss: 11.9260, Total loss: 5.2622
Episode 183/2000, Score: 110, Reward: 9.549999999999981, Avg: 114.5, Actor loss: -7.0843, Critic loss: 12.2666, Total loss: 5.1823
Episode 184/2000, Score: 80, Reward: 4.699999999999999, Avg: 114.5, Actor loss: 0.7276, Critic loss: 2.5527, Total loss: 3.2803
Episode 185/2000, Score: 40, Reward: -0.7999999999999998, Avg: 115.0, Actor loss: -4.1807, Critic loss: 6.0617, Total loss: 1.8810
Episode 186/2000, Score: 160, Reward: 15.549999999999994, Avg: 108.0, Actor loss: -3.0877, Critic loss: 5.1741, Total loss: 2.0864
Episode 187/2000, Score: 120, Reward: 11.349999999999998, Avg: 110.5, Actor loss: -5.6336, Critic loss: 9.3407, Total loss: 3.7071
Episode 188/2000, Score: 60, Reward: 1.3500000000000032, Avg: 108.5, Actor loss: -5.2179, Critic loss: 7.1190, Total loss: 1.9011
Episode 189/2000, Score: 150, Reward: 14.049999999999997, Avg: 114.5, Actor loss: 0.0668, Critic loss: 7.7741, Total loss: 7.8409
Episode 190/2000, Score: 320, Reward: 38.45000000000004, Avg: 123.0, Actor loss: -2.6340, Critic loss: 5.6366, Total loss: 3.0026
Episode 191/2000, Score: 80, Reward: 4.6, Avg: 125.5, Actor loss: -6.9334, Critic loss: 12.7967, Total loss: 5.8632
Episode 192/2000, Score: 310, Reward: 36.95000000000003, Avg: 124.0, Actor loss: -2.0274, Critic loss: 4.9324, Total loss: 2.9050
Episode 193/2000, Score: 40, Reward: -1.0499999999999998, Avg: 124.0, Actor loss: -4.1459, Critic loss: 6.1074, Total loss: 1.9615
Episode 194/2000, Score: 30, Reward: -2.15, Avg: 124.0, Actor loss: -7.8410, Critic loss: 12.8423, Total loss: 5.0014
