episode,total_reward,steps,epsilon,won,progress_cells
295,-28.39,160,0.0907,0,5
296,-25.99,20,0.0903,0,5
297,5.76,84,0.0898,0,4
298,-7.83,83,0.0894,0,2
299,-30.07,8,0.0889,0,5
300,-8.22,82,0.0885,0,2
301,-41.57,18,0.088,0,3
302,-31.3,31,0.0876,0,5
303,-30.35,16,0.0872,0,4
304,-29.63,64,0.0867,0,5
305,5.34,86,0.0863,0,4
306,-16.99,40,0.0859,0,7
307,-27.48,29,0.0854,0,5
308,-35.06,7,0.085,0,3
309,-26.89,90,0.0846,0,6
310,-35.69,10,0.0841,0,3
311,-7.62,82,0.0837,0,2
312,-38.59,40,0.0833,0,3
313,-40.25,6,0.0829,0,3
314,-7.4,120,0.0825,0,3
315,-43.99,40,0.0821,0,3
316,-16.59,40,0.0817,0,8
317,-32.68,29,0.0812,0,4
318,-8.62,82,0.0808,0,2
319,-12.03,44,0.0804,0,8
320,-44.23,144,0.08,0,4
321,-25.76,17,0.0796,0,6
322,-35.98,59,0.0792,0,4
323,1.56,84,0.0788,0,4
324,-30.09,10,0.0784,0,5
325,1.56,84,0.0781,0,4
326,-39.65,46,0.0777,0,3
327,-6.33,113,0.0773,0,3
328,-4.84,144,0.0769,0,4
329,-4.04,84,0.0765,0,3
330,-10.3,210,0.0761,0,4
331,-3.16,96,0.0757,0,3
332,-25.77,78,0.0754,0,6
333,-8.82,82,0.075,0,2
334,-27.26,27,0.0746,0,5
335,-45.17,98,0.0742,0,3
336,-1.29,109,0.0739,0,4
337,-8.18,98,0.0735,0,2
338,-6.3,110,0.0731,0,3
339,-34.33,54,0.0728,0,5
340,-5.59,99,0.0724,0,3
341,-8.62,82,0.072,0,2
342,-40.26,7,0.0717,0,3
343,-30.06,7,0.0713,0,4
344,-1.32,132,0.071,0,4
345,-8.02,82,0.0706,0,2
346,-6.86,146,0.0703,0,3
347,-8.02,82,0.0699,0,2
348,2.68,112,0.0696,0,4
349,-5.15,115,0.0692,0,3
350,1.15,105,0.0689,0,4
351,-42.28,49,0.0685,0,3
352,-40.86,27,0.0682,0,3
353,-0.85,105,0.0678,0,3
354,-40.99,20,0.0675,0,3
355,-2.25,85,0.0672,0,3
356,-30.49,30,0.0668,0,4
357,-5.34,94,0.0665,0,2
358,0.7,110,0.0662,0,4
359,-41.69,50,0.0658,0,3
360,-1.43,83,0.0655,0,2
361,2.94,86,0.0652,0,4
362,-3.17,97,0.0648,0,3
363,-40.53,54,0.0645,0,3
364,1.67,93,0.0642,0,3
365,-45.14,55,0.0639,0,3
366,-7.02,82,0.0636,0,2
367,-5.74,114,0.0632,0,3
368,-2.11,111,0.0629,0,3
369,-2.75,95,0.0626,0,2
370,-1.94,94,0.0623,0,2
371,-3.77,97,0.062,0,2
372,-41.72,113,0.0617,0,3
373,-0.25,125,0.0614,0,3
374,-2.89,130,0.0611,0,11
375,-25.76,17,0.0607,0,5
376,-32.16,117,0.0604,0,5
377,5.29,91,0.0601,0,4
378,-40.08,9,0.0598,0,3
379,-33.01,42,0.0595,0,4
380,-5.62,82,0.0592,0,2
381,5.34,106,0.0589,0,4
382,10.78,102,0.0587,0,5
383,-5.42,82,0.0584,0,2
384,-29.92,93,0.0581,0,5
385,-33.77,98,0.0578,0,4
386,6.65,155,0.0575,0,4
