[SAVE] New best avg score: 100.00
Episode 108/50000, Score: 80, Reward: 18.30000000000001, Avg: 55.0, Actor loss: -11.4097, Critic loss: 76.7247, Total loss: 26.9526
Episode 109/50000, Score: 70, Reward: 11.600000000000009, Avg: 58.333333333333336, Actor loss: -0.4821, Critic loss: 52.3907, Total loss: 25.7133
Episode 110/50000, Score: 30, Reward: 1.3000000000000007, Avg: 56.666666666666664, Actor loss: -6.1401, Critic loss: 29.5264, Total loss: 8.6231
Episode 111/50000, Score: 70, Reward: 18.400000000000002, Avg: 56.666666666666664, Actor loss: 2.2813, Critic loss: 142.1716, Total loss: 73.3671
Episode 112/50000, Score: 60, Reward: 11.800000000000008, Avg: 57.5, Actor loss: -6.2593, Critic loss: 110.1651, Total loss: 48.8232
Episode 113/50000, Score: 40, Reward: -2.9999999999999947, Avg: 56.666666666666664, Actor loss: -11.2789, Critic loss: 77.7572, Total loss: 27.5998
Episode 114/50000, Score: 50, Reward: 1.800000000000006, Avg: 58.333333333333336, Actor loss: -5.9827, Critic loss: 31.2165, Total loss: 9.6256
Episode 115/50000, Score: 30, Reward: -0.40000000000000036, Avg: 55.833333333333336, Actor loss: -1.1102, Critic loss: 11.2005, Total loss: 4.4901
Episode 116/50000, Score: 30, Reward: -0.40000000000000036, Avg: 55.0, Actor loss: -1.1066, Critic loss: 12.7491, Total loss: 5.2680
Episode 117/50000, Score: 100, Reward: 31.999999999999986, Avg: 57.5, Actor loss: 6.1741, Critic loss: 252.9256, Total loss: 132.6369
Episode 118/50000, Score: 50, Reward: 11.100000000000001, Avg: 57.5, Actor loss: -4.7799, Critic loss: 76.7465, Total loss: 33.5933
Episode 119/50000, Score: 80, Reward: 17.1, Avg: 57.5, Actor loss: -15.8785, Critic loss: 120.6971, Total loss: 44.4701
Episode 120/50000, Score: 50, Reward: 13.600000000000001, Avg: 55.0, Actor loss: 1.1026, Critic loss: 97.2099, Total loss: 49.7076
Episode 121/50000, Score: 120, Reward: 37.69999999999998, Avg: 59.166666666666664, Actor loss: -12.8890, Critic loss: 90.2618, Total loss: 32.2419
