Episode 495/2500 - Reward: 34.55 | Score: 100 | Avg: 79.0
Episode 500/2500 - Reward: 59.30 | Score: 150 | Avg: 79.1
Episode 501/2500 - Reward: -0.10 | Score: 30 | Avg: 78.6
Episode 502/2500 - Reward: 19.70 | Score: 70 | Avg: 78.5
Episode 504/2500 - Reward: 82.90 | Score: 200 | Avg: 79.7
Episode 506/2500 - Reward: 24.65 | Score: 80 | Avg: 79.4
Episode 508/2500 - Reward: 39.50 | Score: 110 | Avg: 80.0
Episode 510/2500 - Reward: 153.30 | Score: 340 | Avg: 81.9
Episode 511/2500 - Reward: 286.50 | Score: 490 | Avg: 85.6
Episode 513/2500 - Reward: 24.65 | Score: 80 | Avg: 85.1
Episode 515/2500 - Reward: 14.75 | Score: 60 | Avg: 85.2
Episode 517/2500 - Reward: 24.65 | Score: 80 | Avg: 85.3
Episode 519/2500 - Reward: 52.70 | Score: 140 | Avg: 84.4
Episode 520/2500 - Reward: 19.70 | Score: 70 | Avg: 83.3
Episode 521/2500 - Reward: -0.10 | Score: 30 | Avg: 83.2
Episode 524/2500 - Reward: 19.70 | Score: 70 | Avg: 82.7
Episode 525/2500 - Reward: 54.35 | Score: 140 | Avg: 83.5
Episode 529/2500 - Reward: 58.25 | Score: 150 | Avg: 84.7
Episode 530/2500 - Reward: 74.15 | Score: 180 | Avg: 84.3
Episode 531/2500 - Reward: 14.75 | Score: 60 | Avg: 84.3
Episode 533/2500 - Reward: 34.55 | Score: 100 | Avg: 85.1
Episode 534/2500 - Reward: 59.30 | Score: 150 | Avg: 85.6
Episode 535/2500 - Reward: 54.35 | Score: 140 | Avg: 86.7
Episode 536/2500 - Reward: 24.65 | Score: 80 | Avg: 86.3
Episode 538/2500 - Reward: 19.70 | Score: 70 | Avg: 85.0
Episode 539/2500 - Reward: 178.10 | Score: 390 | Avg: 87.4
Episode 540/2500 - Reward: 24.65 | Score: 80 | Avg: 87.9
Episode 541/2500 - Reward: 4.85 | Score: 40 | Avg: 87.6
Episode 542/2500 - Reward: 34.55 | Score: 100 | Avg: 88.3
Episode 543/2500 - Reward: 54.35 | Score: 140 | Avg: 89.1
Episode 545/2500 - Reward: 14.75 | Score: 60 | Avg: 88.2
Episode 546/2500 - Reward: 19.70 | Score: 70 | Avg: 88.3
Episode 547/2500 - Reward: 19.70 | Score: 70 | Avg: 88.7
Episode 548/2500 - Reward: 14.75 | Score: 60 | Avg: 89.0
Episode 550/2500 - Reward: 24.65 | Score: 80 | Avg: 89.6
Episode 551/2500 - Reward: 84.05 | Score: 200 | Avg: 90.9
Episode 554/2500 - Reward: 14.75 | Score: 60 | Avg: 90.3
Episode 555/2500 - Reward: 14.75 | Score: 60 | Avg: 90.2
Episode 556/2500 - Reward: 79.10 | Score: 190 | Avg: 91.8
Episode 557/2500 - Reward: 133.55 | Score: 300 | Avg: 94.5
Episode 559/2500 - Reward: 98.90 | Score: 230 | Avg: 95.6
Episode 561/2500 - Reward: 4.85 | Score: 40 | Avg: 93.3
Episode 562/2500 - Reward: 14.75 | Score: 60 | Avg: 93.5
Episode 564/2500 - Reward: 59.30 | Score: 150 | Avg: 92.2
Episode 565/2500 - Reward: 113.75 | Score: 260 | Avg: 94.4
Episode 568/2500 - Reward: 39.50 | Score: 110 | Avg: 92.5
Episode 571/2500 - Reward: 19.70 | Score: 70 | Avg: 90.5
Episode 573/2500 - Reward: 74.15 | Score: 180 | Avg: 90.0
Episode 574/2500 - Reward: 14.75 | Score: 60 | Avg: 90.0
Episode 575/2500 - Reward: 54.35 | Score: 140 | Avg: 90.0
Episode 576/2500 - Reward: 24.65 | Score: 80 | Avg: 89.4
Episode 577/2500 - Reward: 24.65 | Score: 80 | Avg: 89.5
Episode 578/2500 - Reward: 34.55 | Score: 100 | Avg: 89.4
Episode 579/2500 - Reward: 59.30 | Score: 150 | Avg: 90.5
Episode 581/2500 - Reward: 24.65 | Score: 80 | Avg: 89.8
Episode 582/2500 - Reward: 14.75 | Score: 60 | Avg: 89.8
Episode 585/2500 - Reward: 24.65 | Score: 80 | Avg: 89.5
Episode 586/2500 - Reward: 158.30 | Score: 350 | Avg: 92.6
Episode 587/2500 - Reward: 24.65 | Score: 80 | Avg: 91.9
Episode 589/2500 - Reward: 14.75 | Score: 60 | Avg: 91.9
Episode 590/2500 - Reward: 24.65 | Score: 80 | Avg: 92.4
Episode 591/2500 - Reward: -0.10 | Score: 30 | Avg: 92.4
Episode 594/2500 - Reward: 14.75 | Score: 60 | Avg: 89.0
Episode 595/2500 - Reward: 19.70 | Score: 70 | Avg: 88.7
Episode 597/2500 - Reward: 64.25 | Score: 160 | Avg: 90.0
Episode 598/2500 - Reward: 59.30 | Score: 150 | Avg: 91.2
Episode 599/2500 - Reward: 14.75 | Score: 60 | Avg: 91.4
Episode 600/2500 - Reward: 14.75 | Score: 60 | Avg: 90.5
Episode 601/2500 - Reward: 14.75 | Score: 60 | Avg: 90.8
Episode 602/2500 - Reward: 14.75 | Score: 60 | Avg: 90.7
Episode 603/2500 - Reward: 14.75 | Score: 60 | Avg: 91.0
Episode 604/2500 - Reward: 14.75 | Score: 60 | Avg: 89.6
Episode 606/2500 - Reward: 39.50 | Score: 110 | Avg: 90.0
Episode 608/2500 - Reward: 24.65 | Score: 80 | Avg: 89.8
Episode 609/2500 - Reward: 24.65 | Score: 80 | Avg: 90.2
Episode 610/2500 - Reward: 59.25 | Score: 150 | Avg: 88.3
Episode 611/2500 - Reward: -0.10 | Score: 30 | Avg: 83.7
Episode 612/2500 - Reward: 19.70 | Score: 70 | Avg: 84.1
Episode 613/2500 - Reward: 24.65 | Score: 80 | Avg: 84.1
Episode 614/2500 - Reward: 14.75 | Score: 60 | Avg: 84.4
Episode 616/2500 - Reward: 34.55 | Score: 100 | Avg: 84.9
