Episode 364/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 365/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 366/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 367/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 368/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 369/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 370/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 371/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 372/2500 - Reward: 177.65 | Score: 390 | Avg: 480.9
Episode 373/2500 - Reward: 287.15 | Score: 490 | Avg: 481.5
Episode 374/2500 - Reward: 287.15 | Score: 490 | Avg: 481.5
Episode 375/2500 - Reward: 287.15 | Score: 490 | Avg: 481.5
Episode 376/2500 - Reward: 287.15 | Score: 490 | Avg: 482.4
Episode 377/2500 - Reward: 287.15 | Score: 490 | Avg: 482.4
Episode 378/2500 - Reward: 133.10 | Score: 300 | Avg: 480.5
Episode 379/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 380/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 381/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 382/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 383/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 384/2500 - Reward: 287.15 | Score: 490 | Avg: 482.3
Episode 385/2500 - Reward: 138.05 | Score: 310 | Avg: 480.5
Episode 386/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 387/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 388/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 389/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 390/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 391/2500 - Reward: 197.45 | Score: 430 | Avg: 479.9
Episode 392/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 393/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 394/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 395/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 396/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 397/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 398/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 399/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 400/2500 - Reward: 287.15 | Score: 490 | Avg: 479.9
Episode 401/2500 - Reward: 172.70 | Score: 380 | Avg: 478.8
Episode 402/2500 - Reward: 287.15 | Score: 490 | Avg: 478.8
Episode 403/2500 - Reward: 287.15 | Score: 490 | Avg: 478.8
Episode 404/2500 - Reward: 287.15 | Score: 490 | Avg: 478.8
Episode 405/2500 - Reward: 287.15 | Score: 490 | Avg: 478.8
Episode 406/2500 - Reward: 212.30 | Score: 460 | Avg: 478.5
Episode 407/2500 - Reward: 287.15 | Score: 490 | Avg: 480.2
Episode 408/2500 - Reward: 287.15 | Score: 490 | Avg: 480.2
Episode 409/2500 - Reward: 287.15 | Score: 490 | Avg: 480.2
Episode 410/2500 - Reward: 287.15 | Score: 490 | Avg: 480.7
Episode 411/2500 - Reward: 287.15 | Score: 490 | Avg: 480.7
Episode 412/2500 - Reward: 287.15 | Score: 490 | Avg: 480.7
Episode 413/2500 - Reward: 287.15 | Score: 490 | Avg: 480.7
Episode 414/2500 - Reward: 287.15 | Score: 490 | Avg: 480.7
Episode 415/2500 - Reward: 287.15 | Score: 490 | Avg: 480.7
Episode 416/2500 - Reward: 287.15 | Score: 490 | Avg: 480.7
Episode 417/2500 - Reward: 287.15 | Score: 490 | Avg: 481.0
Episode 418/2500 - Reward: 287.15 | Score: 490 | Avg: 481.0
Episode 419/2500 - Reward: 287.15 | Score: 490 | Avg: 481.0
Episode 420/2500 - Reward: 287.15 | Score: 490 | Avg: 481.5
