episode,total_reward,epsilon
945,-239.59,0.02
946,-13062.99,0.02
947,-236.81,0.02
948,-189.53,0.02
949,-2601.5,0.02
950,-5503.18,0.02
951,-6397.68,0.02
952,-172.63,0.02
953,-146.38,0.02
954,-211.31,0.02
955,-210.21,0.02
956,-270.93,0.02
957,-103.22,0.02
958,-3790.5,0.02
959,-143.47,0.02
960,-129.06,0.02
961,-13024.58,0.02
962,-234.27,0.02
963,-219.71,0.02
964,-223.51,0.02
965,-119.13,0.02
966,-227.18,0.02
967,-204.02,0.02
968,-125.28,0.02
969,-233.59,0.02
970,-143.4,0.02
971,-5697.18,0.02
972,-216.74,0.02
973,-130.76,0.02
974,-176.53,0.02
975,-109.98,0.02
976,-8357.19,0.02
977,-4589.16,0.02
978,-1936.98,0.02
979,-4136.78,0.02
980,-4490.84,0.02
981,-10400.19,0.02
982,-1703.19,0.02
983,-176.64,0.02
984,-245.35,0.02
985,-6959.17,0.02
986,-263.71,0.02
987,-150.12,0.02
988,-5845.54,0.02
989,-2636.73,0.02
990,-132.65,0.02
991,-6938.68,0.02
992,-371.69,0.02
993,-9501.77,0.02
994,-307.77,0.02
995,-98.24,0.02
996,-124.49,0.02
997,-2566.88,0.02
998,-7043.18,0.02
999,-2559.25,0.02
1000,-6872.2,0.02
1001,-3796.58,0.02
1002,-2588.78,0.02
1003,-110.35,0.02
1004,-11916.71,0.02
1005,-114.76,0.02
1006,-219.61,0.02
1007,-4888.21,0.02
1008,-124.03,0.02
1009,-153.79,0.02
1010,-122.14,0.02
1011,-148.55,0.02
1012,-126.75,0.02
1013,-218.49,0.02
1014,-374.24,0.02
1015,-13301.43,0.02
1016,-180.84,0.02
1017,-16684.93,0.02
1018,-206.47,0.02
1019,-132.79,0.02
1020,-300.5,0.02
1021,-1997.14,0.02
1022,-133.52,0.02
1023,-105.7,0.02
1024,-7628.37,0.02
1025,-109.15,0.02
1026,-242.74,0.02
1027,-17673.82,0.02
1028,-207.62,0.02
1029,-220.17,0.02
1030,-166.61,0.02
1031,-197.63,0.02
1032,-104.88,0.02
1033,-165.13,0.02
1034,-125.21,0.02
1035,-189.79,0.02
1036,-113.15,0.02
1037,-4801.59,0.02
1038,-107.76,0.02
1039,-147.43,0.02
1040,-130.52,0.02
1041,-145.59,0.02
1042,-5491.06,0.02
1043,-292.12,0.02
1044,-99.41,0.02
1045,-105.31,0.02
1046,-110.51,0.02
1047,-168.6,0.02
