episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
256,30,-3.75,44,0.8794,0.2314,0,49.0
257,120,-3.05,97,0.8789,0.2314,0,49.1
258,50,-2.025,12,0.8785,0.2313,0,49.2
259,100,-2.275,47,0.8781,0.2312,0,49.9
260,90,-4.275,68,0.8776,0.2312,0,49.7
261,80,-4.875,77,0.8772,0.2311,0,49.9
262,50,-3.5,44,0.8768,0.231,0,50.1
263,80,-3.0,53,0.8763,0.231,0,50.6
264,50,-2.325,18,0.8759,0.2309,0,50.5
265,40,-2.25,14,0.8754,0.2308,0,50.4
266,30,-2.225,10,0.875,0.2308,0,50.1
267,30,-2.75,29,0.8746,0.2307,0,50.0
268,50,-3.525,57,0.8741,0.2306,0,50.1
269,120,-6.35,152,0.8737,0.2305,0,51.0
270,40,-3.875,49,0.8732,0.2305,0,50.8
271,30,-3.425,38,0.8728,0.2304,0,50.3
272,30,-2.75,22,0.8724,0.2303,0,50.3
273,60,-1.55,17,0.8719,0.2303,0,50.3
274,30,-3.3,36,0.8715,0.2302,0,49.8
275,40,-3.5,45,0.8711,0.2301,0,49.9
276,30,-2.7,21,0.8706,0.2301,0,49.6
277,50,-2.15,30,0.8702,0.23,0,49.8
278,50,-1.75,6,0.8698,0.2299,0,49.5
279,40,-2.75,25,0.8693,0.2299,0,49.3
280,70,-1.65,22,0.8689,0.2298,0,49.6
281,30,-2.05,6,0.8685,0.2297,0,49.4
282,50,-2.5,38,0.868,0.2296,0,49.4
283,60,-2.3,26,0.8676,0.2296,0,48.7
284,70,-3.3,47,0.8672,0.2295,0,49.1
285,30,-2.6,18,0.8667,0.2294,0,49.1
286,30,-2.0,5,0.8663,0.2294,0,48.9
287,50,-1.775,23,0.8659,0.2293,0,49.1
288,50,-2.725,26,0.8654,0.2292,0,49.1
289,70,-3.625,54,0.865,0.2292,0,49.3
290,70,-3.05,35,0.8646,0.2291,0,49.4
291,90,-5.925,111,0.8641,0.229,0,49.9
292,30,-2.425,14,0.8637,0.229,0,49.7
293,50,-3.1,43,0.8633,0.2289,0,49.9
294,30,-1.9,3,0.8628,0.2288,0,49.2
295,30,-2.275,11,0.8624,0.2288,0,48.9
296,30,-2.8,23,0.862,0.2287,0,48.4
297,40,-2.425,27,0.8615,0.2286,0,48.5
298,40,-2.9,27,0.8611,0.2285,0,48.6
299,60,-2.125,27,0.8607,0.2285,0,48.7
300,100,-2.1,37,0.8602,0.2284,0,49.4
301,30,-2.1,7,0.8598,0.2283,0,49.4
302,40,-2.05,21,0.8594,0.2283,0,49.2
303,60,-2.9,36,0.859,0.2282,0,49.5
304,50,-2.025,12,0.8585,0.2281,0,49.7
305,50,-7.175,124,0.8581,0.2281,0,49.5
306,50,-2.175,13,0.8577,0.228,0,49.2
307,100,-1.875,50,0.8572,0.2279,0,49.7
308,50,-2.325,16,0.8568,0.2279,0,49.9
309,50,-4.475,71,0.8564,0.2278,0,49.7
310,50,-3.45,41,0.856,0.2277,0,49.7
311,60,-2.775,33,0.8555,0.2277,0,49.7
312,40,-4.525,62,0.8551,0.2276,0,49.8
313,50,-2.425,26,0.8547,0.2275,0,49.7
314,110,-1.525,39,0.8542,0.2275,0,50.3
315,40,-2.9,25,0.8538,0.2274,0,50.2
316,30,-2.65,21,0.8534,0.2273,0,49.9
317,70,-4.4,85,0.853,0.2272,0,50.3
318,170,-2.15,129,0.8525,0.2272,0,51.7
319,30,-2.125,10,0.8521,0.2271,0,51.7
320,50,-2.4,24,0.8517,0.227,0,51.9
321,80,-2.125,41,0.8513,0.227,0,52.2
322,60,-2.35,19,0.8508,0.2269,0,52.4
323,30,-2.225,12,0.8504,0.2268,0,52.4
324,30,-1.9,3,0.85,0.2268,0,52.4
325,30,-2.2,9,0.8496,0.2267,0,52.4
326,30,-2.325,12,0.8491,0.2266,0,52.1
327,60,-1.5,21,0.8487,0.2266,0,52.4
328,30,-2.475,15,0.8483,0.2265,0,52.4
329,50,-3.675,60,0.8479,0.2264,0,52.4
330,30,-2.175,11,0.8474,0.2264,0,52.4
331,30,-2.825,25,0.847,0.2263,0,52.4
332,80,-2.5,50,0.8466,0.2262,0,52.4
333,70,-3.825,53,0.8462,0.2262,0,52.6
334,60,-3.5,42,0.8457,0.2261,0,52.9
335,40,-3.85,48,0.8453,0.226,0,52.6
336,60,-3.575,51,0.8449,0.226,0,52.9
337,70,-3.25,56,0.8445,0.2259,0,53.1
338,60,-2.825,30,0.8441,0.2258,0,53.4
339,60,-2.05,14,0.8436,0.2258,0,53.6
340,30,-3.0,27,0.8432,0.2257,0,53.6
341,30,-3.775,51,0.8428,0.2256,0,53.1
342,50,-1.675,13,0.8424,0.2256,0,53.2
343,60,-4.2,60,0.8419,0.2255,0,53.3
344,70,-2.125,24,0.8415,0.2254,0,53.5
345,30,-3.175,31,0.8411,0.2253,0,53.5
346,40,-2.4,22,0.8407,0.2253,0,53.6
347,30,-2.0,5,0.8403,0.2252,0,53.4
348,50,-2.7,37,0.8398,0.2251,0,53.6
349,30,-2.6,18,0.8394,0.2251,0,53.4
350,30,-2.675,26,0.839,0.225,0,52.8
351,30,-2.525,16,0.8386,0.2249,0,52.7
352,50,-2.45,30,0.8382,0.2249,0,52.9
353,40,-3.175,34,0.8377,0.2248,0,52.8
354,70,-2.05,26,0.8373,0.2247,0,53.0
355,30,-2.2,11,0.8369,0.2247,0,52.1
356,50,-4.425,75,0.8365,0.2246,0,52.3
357,50,-3.15,35,0.8361,0.2245,0,51.6
358,50,-2.775,25,0.8357,0.2245,0,51.6
359,50,-2.675,26,0.8352,0.2244,0,51.1
360,30,-3.025,27,0.8348,0.2243,0,50.5
361,70,-2.525,47,0.8344,0.2243,0,50.4
362,80,-4.375,73,0.834,0.2242,0,50.7
363,70,-3.575,51,0.8336,0.2241,0,50.6
364,60,-2.975,33,0.8331,0.2241,0,50.7
365,50,-2.95,30,0.8327,0.224,0,50.8
366,100,-2.15,45,0.8323,0.2239,0,51.5
367,60,-2.55,25,0.8319,0.2239,0,51.8
368,70,-2.475,25,0.8315,0.2238,0,52.0
369,30,-2.05,8,0.8311,0.2237,0,51.1
370,210,1.5,110,0.8307,0.2237,0,52.8
371,40,-2.4,16,0.8302,0.2236,0,52.9
372,40,-3.675,43,0.8298,0.2235,0,53.0
373,50,-2.15,20,0.8294,0.2235,0,52.9
374,30,-2.725,23,0.829,0.2234,0,52.9
375,50,-2.025,15,0.8286,0.2233,0,53.0
376,30,-2.475,15,0.8282,0.2233,0,53.0
377,30,-2.975,26,0.8277,0.2232,0,52.8
378,120,-0.375,45,0.8273,0.2231,0,53.5
379,50,-3.4,40,0.8269,0.2231,0,53.6
380,130,-2.025,72,0.8265,0.223,0,54.2
381,50,-3.9,48,0.8261,0.2229,0,54.4
382,40,-2.525,20,0.8257,0.2229,0,54.3
383,30,-2.75,20,0.8253,0.2228,0,54.0
384,50,-2.375,33,0.8249,0.2227,0,53.8
385,100,-1.825,43,0.8244,0.2227,0,54.5
386,50,-2.1,11,0.824,0.2226,0,54.7
387,70,-3.475,64,0.8236,0.2225,0,54.9
388,50,-2.675,25,0.8232,0.2225,0,54.9
389,30,-3.65,44,0.8228,0.2224,0,54.5
390,60,-1.6,19,0.8224,0.2223,0,54.4
391,60,-4.95,77,0.822,0.2223,0,54.1
392,50,-2.6,23,0.8216,0.2222,0,54.3
393,70,-2.075,20,0.8212,0.2221,0,54.5
394,40,-2.725,23,0.8207,0.2221,0,54.6
395,40,-2.525,21,0.8203,0.222,0,54.7
396,40,-3.35,35,0.8199,0.2219,0,54.8
397,50,-3.8,49,0.8195,0.2219,0,54.9
398,30,-2.45,17,0.8191,0.2218,0,54.8
399,50,-1.825,19,0.8187,0.2217,0,54.7
400,120,-2.65,77,0.8183,0.2217,0,54.9
401,30,-2.425,14,0.8179,0.2216,0,54.9
402,60,-1.775,30,0.8175,0.2215,0,55.1
403,60,-2.075,13,0.8171,0.2215,0,55.1
404,30,-2.175,9,0.8166,0.2214,0,54.9
405,50,-3.775,67,0.8162,0.2213,0,54.9
406,60,-2.525,29,0.8158,0.2213,0,55.0
407,60,-2.3,18,0.8154,0.2212,0,54.6
408,30,-1.95,6,0.815,0.2211,0,54.4
409,80,-2.15,41,0.8146,0.2211,0,54.7
410,60,-4.275,61,0.8142,0.221,0,54.8
411,30,-3.15,30,0.8138,0.2209,0,54.5
412,60,-1.95,21,0.8134,0.2209,0,54.7
413,50,-3.625,45,0.813,0.2208,0,54.7
414,60,-2.45,26,0.8126,0.2207,0,54.2
415,30,-1.95,4,0.8122,0.2207,0,54.1
416,110,-0.5,39,0.8118,0.2206,0,54.9
417,30,-1.95,6,0.8114,0.2205,0,54.5
418,50,-2.975,35,0.8109,0.2205,0,53.3
419,30,-2.65,21,0.8105,0.2204,0,53.3
420,80,-1.35,24,0.8101,0.2203,0,53.6
421,80,-2.725,31,0.8097,0.2203,0,53.6
422,50,-2.8,26,0.8093,0.2202,0,53.5
423,30,-3.275,34,0.8089,0.2201,0,53.5
424,60,-1.85,19,0.8085,0.2201,0,53.8
425,80,-3.825,64,0.8081,0.22,0,54.3
426,90,-3.9,64,0.8077,0.2199,0,54.9
427,50,-2.7,26,0.8073,0.2199,0,54.8
428,60,-3.875,52,0.8069,0.2198,0,55.1
429,30,-3.175,31,0.8065,0.2197,0,54.9
430,50,-1.6,11,0.8061,0.2197,0,55.1
431,30,-2.75,21,0.8057,0.2196,0,55.1
432,60,-2.525,41,0.8053,0.2195,0,54.9
433,30,-1.95,6,0.8049,0.2195,0,54.5
434,60,-1.725,16,0.8045,0.2194,0,54.5
435,50,-2.525,21,0.8041,0.2193,0,54.6
436,60,-2.225,30,0.8037,0.2193,0,54.6
437,50,-2.975,32,0.8033,0.2192,0,54.4
438,70,-1.45,7,0.8029,0.2191,0,54.5
439,30,-2.275,13,0.8025,0.2191,0,54.2
440,40,-2.4,24,0.8021,0.219,0,54.3
441,30,-1.95,6,0.8017,0.2189,0,54.3
442,40,-2.2,18,0.8013,0.2189,0,54.2
443,100,-2.225,52,0.8009,0.2188,0,54.6
444,60,-2.675,28,0.8005,0.2188,0,54.5
445,50,-2.475,19,0.8001,0.2187,0,54.7
446,50,-2.35,17,0.7997,0.2186,0,54.8
447,80,-2.15,42,0.7993,0.2186,0,55.3
448,50,-3.225,38,0.7989,0.2185,0,55.3
449,30,-2.425,16,0.7985,0.2184,0,55.3
450,60,-2.625,44,0.7981,0.2184,0,55.6
451,40,-2.475,17,0.7977,0.2183,0,55.7
452,70,-1.8,20,0.7973,0.2182,0,55.9
453,50,-4.375,60,0.7969,0.2182,0,56.0
454,30,-2.175,9,0.7965,0.2181,0,55.6
455,30,-2.35,12,0.7961,0.218,0,55.6
456,30,-1.95,10,0.7957,0.218,0,55.4
457,50,-2.425,29,0.7953,0.2179,0,55.4
458,40,-2.0,9,0.7949,0.2178,0,55.3
459,70,-2.05,25,0.7945,0.2178,0,55.5
460,50,-3.0,32,0.7941,0.2177,0,55.7
461,50,-3.725,48,0.7937,0.2176,0,55.5
462,30,-2.425,17,0.7933,0.2176,0,55.0
463,50,-1.975,21,0.7929,0.2175,0,54.8
464,30,-2.225,10,0.7925,0.2174,0,54.5
465,40,-1.45,8,0.7921,0.2174,0,54.4
466,50,-4.2,57,0.7917,0.2173,0,53.9
467,30,-1.95,6,0.7913,0.2172,0,53.6
468,30,-2.05,6,0.7909,0.2172,0,53.2
469,100,-1.0,44,0.7905,0.2171,0,53.9
470,100,-3.3,49,0.7901,0.2171,0,52.8
471,120,-3.75,75,0.7897,0.217,0,53.6
472,110,-4.25,68,0.7893,0.2169,0,54.3
473,30,-2.275,13,0.7889,0.2169,0,54.1
474,70,-1.725,23,0.7886,0.2168,0,54.5
475,30,-2.8,23,0.7882,0.2167,0,54.3
